time        FAR         N           Wfuel       Tt          
0.0         0.025       10000.0     23.75       2863.15062  
0.0         0.025       9999.83112  23.7486208  2863.12424  
0.0         0.025       9999.77359  23.7479159  2863.11542  
0.0         0.026       9999.77359  23.7479159  2863.11542  
0.0         0.026       10074.7854  25.4210742  2932.74092  
0.0         0.028       10156.7910  27.2190876  3002.53917  
0.0         0.03        10246.2299  29.1540940  3072.50763  
0.01        0.02602126  10074.8168  25.4421446  2934.01284  
0.02        0.02604251  10074.8723  25.4634148  2935.28712  
0.03        0.02606377  10074.9546  25.4849533  2936.56451  
0.04        0.02608502  10075.0632  25.5067436  2937.84489  
0.05        0.02610627  10075.1977  25.5287815  2939.12814  
0.06000000  0.02612751  10075.3577  25.5510623  2940.41462  
0.07        0.02614874  10075.5427  25.5735812  2941.70319  
0.08        0.02616997  10075.7525  25.5963338  2942.99423  
0.09        0.02619118  10075.9864  25.6193155  2944.28761  
0.09999999  0.02621238  10076.2443  25.6425218  2945.58320  
0.10999999  0.02623357  10076.5256  25.6659482  2946.88089  
0.11999999  0.02625474  10076.8299  25.6895905  2948.18054  
0.12999999  0.02627590  10077.1570  25.7134442  2949.48204  
0.13999999  0.02629704  10077.5064  25.7375052  2950.78527  
0.15        0.02631816  10077.8777  25.7617691  2952.09011  
0.16        0.02633927  10078.2706  25.7862319  2953.39645  
0.17        0.02636036  10078.6847  25.8108894  2954.70417  
0.18000000  0.02638142  10079.1197  25.8357375  2956.01317  
0.19000000  0.02640247  10079.5751  25.8607723  2957.32333  
0.20000000  0.02642349  10080.0507  25.8859898  2958.63455  
0.21000000  0.02644449  10080.5462  25.9113861  2959.94672  
0.22000000  0.02646546  10081.0610  25.9369573  2961.25974  
0.23000000  0.02648641  10081.5950  25.9626995  2962.57350  
0.24000000  0.02650733  10082.1478  25.9886092  2963.88790  
0.25000000  0.02652822  10082.7191  26.0146824  2965.20285  
0.26000000  0.02654908  10083.3085  26.0409156  2966.51824  
0.27000000  0.02656992  10083.9158  26.0673051  2967.83397  
0.28000000  0.02659072  10084.5406  26.0938474  2969.14996  
0.29000000  0.02661149  10085.1826  26.1205389  2970.46612  
0.30000000  0.02663224  10085.8414  26.1473761  2971.78233  
0.31000000  0.02665294  10086.5169  26.1743556  2973.09853  
0.32000000  0.02667362  10087.2087  26.2014740  2974.41462  
0.33000000  0.02669426  10087.9165  26.2287279  2975.73050  
0.34000000  0.02671486  10088.6400  26.2561140  2977.04611  
0.35000000  0.02673543  10089.3790  26.2836291  2978.36134  
0.36000000  0.02675596  10090.1331  26.3112698  2979.67613  
0.37000000  0.02677645  10090.9021  26.3390331  2980.99038  
0.38000000  0.02679691  10091.6857  26.3669158  2982.30401  
0.39000000  0.02681732  10092.4837  26.3949148  2983.61695  
0.40000000  0.02683770  10093.2957  26.4230270  2984.92913  
0.41000000  0.02685803  10094.1216  26.4512493  2986.24045  
